CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
298671978,12/31/2024,00:40:00,12/31/2024,00:47:00,9,12/31/2024,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,989431,201851,45-64,WHITE HISPANIC,M,,40.72070953128044,-73.9813091658834,"(40.72070953128044, -73.9813091658834)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
298454096,12/25/2024,10:28:00,12/25/2024,10:28:00,9,12/25/2024,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,985722,203558,(null),(null),(null),,40.725407,-73.994689,"(40.725407, -73.994689)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
298264294,12/20/2024,01:45:00,12/20/2024,02:36:00,9,12/20/2024,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,989667,203049,25-44,WHITE HISPANIC,F,,40.724007,-73.980457,"(40.724007, -73.980457)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
295105195,10/19/2024,04:20:00,10/19/2024,04:30:00,9,10/19/2024,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,988755,203691,45-64,WHITE,M,,40.725763,-73.983746,"(40.725763, -73.983746)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
294787348,10/13/2024,02:40:00,10/13/2024,03:00:00,9,10/13/2024,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,989361,204786,18-24,WHITE HISPANIC,M,,40.728766,-73.981557,"(40.728766, -73.981557)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
287019359,05/17/2024,01:35:00,05/17/2024,01:54:00,9,05/17/2024,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,988734,202129,(null),(null),(null),,40.721472954934455,-73.98382345878198,"(40.721472954934455, -73.98382345878198)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,M
284533200,03/29/2024,19:00:00,03/29/2024,19:29:00,9,03/29/2024,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),,986300,203099,25-44,WHITE HISPANIC,F,,40.7241362691457,-73.99260409575837,"(40.7241362691457, -73.99260409575837)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
280639730,01/17/2024,01:20:00,01/17/2024,02:01:00,9,01/17/2024,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),,990664,204848,25-44,WHITE,F,,40.728937,-73.976855,"(40.728937, -73.976855)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
278807335,12/11/2023,05:00:00,12/11/2023,05:11:00,9,12/11/2023,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),991512,204053,(null),(null),(null),,40.7267520240305,-73.97379943146073,"(40.7267520240305, -73.97379943146073)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
278088937,11/27/2023,02:39:00,11/27/2023,02:42:00,9,11/27/2023,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989667,203049,(null),(null),(null),,40.723998,-73.980456,"(40.723998, -73.980456)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
278018448,11/25/2023,05:20:00,11/25/2023,05:25:00,9,11/25/2023,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),985273,203770,25-44,WHITE HISPANIC,M,,40.725979,-73.996308,"(40.725979, -73.996308)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
276986594,11/04/2023,04:10:00,11/04/2023,04:15:00,9,11/04/2023,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987623,203976,18-24,ASIAN / PACIFIC ISLANDER,M,,40.72655378,-73.98782858,"(40.72655378, -73.98782858)",PATROL BORO MAN SOUTH,(null),45-64,ASIAN / PACIFIC ISLANDER,M
275594360,10/08/2023,03:24:00,10/08/2023,03:30:00,9,10/08/2023,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988051,202409,25-44,BLACK HISPANIC,M,,40.72224180711411,-73.98628730097782,"(40.72224180711411, -73.98628730097782)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
275566940,10/07/2023,02:00:00,10/07/2023,02:21:00,9,10/07/2023,347,INTOXICATED & IMPAIRED DRIVING,907.0,"IMPAIRED DRIVING,DRUG",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),986938,205833,25-44,BLACK HISPANIC,M,,40.731642,-73.990301,"(40.731642, -73.990301)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
272801445,08/13/2023,04:45:00,08/13/2023,04:48:00,9,08/13/2023,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,(null),N.Y. POLICE DEPT,0,(null),(null),(null),987469,205834,45-64,BLACK,M,,40.731644,-73.988383,"(40.731644, -73.988383)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
271350053,07/15/2023,03:48:00,07/15/2023,03:50:00,9,07/15/2023,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987303,204062,18-24,WHITE HISPANIC,M,,40.72677918090497,-73.98898507747651,"(40.72677918090497, -73.98898507747651)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
269193702,06/02/2023,00:50:00,06/02/2023,01:00:00,9,06/02/2023,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988753,205909,25-44,WHITE HISPANIC,U,,40.73185,-73.983751,"(40.73185, -73.983751)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
268557641,05/20/2023,03:40:00,05/20/2023,03:45:00,9,05/20/2023,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987360,206352,(null),(null),(null),,40.733065,-73.988776,"(40.733065, -73.988776)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
266071219,04/03/2023,02:35:00,04/03/2023,02:40:00,9,04/03/2023,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),986617,204261,25-44,WHITE HISPANIC,M,,40.727327,-73.991458,"(40.727327, -73.991458)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F
263562788,02/14/2023,02:14:00,02/14/2023,03:01:00,9,02/14/2023,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),986738,202922,25-44,WHITE,M,,40.72365033,-73.99102396,"(40.72365033, -73.99102396)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,M
260459603,12/24/2022,02:00:00,12/24/2022,02:22:00,9,12/24/2022,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),990345,201948,45-64,ASIAN / PACIFIC ISLANDER,F,,40.720976,-73.97801,"(40.720976, -73.97801)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
252617017,10/16/2022,03:33:00,10/16/2022,04:14:00,9,10/16/2022,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987284,205499,25-44,BLACK,M,,40.7307234,-73.98905297,"(40.7307234, -73.98905297)",PATROL BORO MAN SOUTH,(null),45-64,ASIAN / PACIFIC ISLANDER,M
250472515,09/01/2022,11:05:00,09/01/2022,11:24:00,9,09/01/2022,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987058,203626,25-44,WHITE HISPANIC,M,,40.72558254,-73.98986919,"(40.72558254, -73.98986919)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,M
249630905,08/16/2022,03:10:00,08/16/2022,03:12:00,9,08/16/2022,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,PARK/PLAYGROUND,N.Y. POLICE DEPT,0,TOMPKINS SQUARE PARK,(null),(null),989760,203987,25-44,WHITE HISPANIC,M,,40.726573,-73.98012,"(40.726573, -73.98012)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
249504519,08/12/2022,21:31:00,08/12/2022,22:25:00,9,08/12/2022,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988090,205490,25-44,WHITE HISPANIC,M,,40.730699,-73.986142,"(40.730699, -73.986142)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
247796312,07/09/2022,16:27:00,07/09/2022,16:32:00,9,07/09/2022,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988573,203364,(null),(null),(null),,40.72486281,-73.98440349,"(40.72486281, -73.98440349)",PATROL BORO MAN SOUTH,(null),65+,WHITE HISPANIC,M
247106754,06/24/2022,04:15:00,06/24/2022,04:22:00,9,06/24/2022,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,OPEN AREAS (OPEN LOTS),N.Y. POLICE DEPT,0,(null),(null),(null),987226,205389,25-44,WHITE HISPANIC,M,,40.730422,-73.98926,"(40.730422, -73.98926)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
246347358,06/08/2022,19:55:00,06/08/2022,20:15:00,9,06/08/2022,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),985980,203649,(null),(null),(null),,40.72564595,-73.99375843,"(40.72564595, -73.99375843)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,M
244461020,05/02/2022,02:48:00,05/02/2022,02:55:00,9,05/02/2022,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987399,202661,45-64,ASIAN / PACIFIC ISLANDER,M,,40.72293374,-73.98863937,"(40.72293374, -73.98863937)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,M
241617065,03/05/2022,02:58:00,03/05/2022,03:05:00,9,03/05/2022,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987725,204831,25-44,WHITE HISPANIC,M,,40.728891,-73.987461,"(40.728891, -73.987461)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
241296999,02/27/2022,04:25:00,02/27/2022,04:35:00,9,02/27/2022,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,(null),RIIS II,590,990831,202826,25-44,ASIAN / PACIFIC ISLANDER,M,,40.723385,-73.976256,"(40.723385, -73.976256)",PATROL BORO MAN SOUTH,(null),18-24,BLACK HISPANIC,F
239533562,01/22/2022,07:15:00,01/22/2022,07:19:00,9,01/22/2022,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),985733,203753,(null),(null),(null),,40.72593145,-73.99464955,"(40.72593145, -73.99464955)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
234279800,09/30/2021,07:15:00,09/30/2021,07:20:00,9,09/30/2021,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),609,991170,201398,25-44,BLACK HISPANIC,M,,40.719467,-73.975034,"(40.719467, -73.975034)",PATROL BORO MAN SOUTH,(null),25-44,WHITE HISPANIC,M
233198800,09/07/2021,00:52:00,09/07/2021,00:52:00,9,09/07/2021,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),991204,201178,(null),(null),(null),,40.71886109,-73.97491363,"(40.71886109, -73.97491363)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
230799289,07/13/2021,20:38:00,07/13/2021,21:07:00,9,07/14/2021,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),986487,203784,45-64,WHITE,M,,40.726018,-73.991928,"(40.726018, -73.991928)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
229181745,06/06/2021,16:30:00,06/06/2021,16:57:00,9,06/06/2021,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989632,202781,25-44,WHITE,M,,40.723262,-73.980582,"(40.723262, -73.980582)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
224969480,03/01/2021,01:40:00,,(null),9,03/01/2021,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989701,203881,25-44,BLACK,M,,40.72628122,-73.98033347,"(40.72628122, -73.98033347)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
223492319,01/24/2021,09:00:00,01/24/2021,09:30:00,9,01/24/2021,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989955,202021,(null),(null),(null),,40.721176,-73.979419,"(40.721176, -73.979419)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,F
223154707,01/16/2021,07:10:00,01/16/2021,07:15:00,9,01/16/2021,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987387,203442,25-44,BLACK,M,,40.725078,-73.98868,"(40.725078, -73.98868)",PATROL BORO MAN SOUTH,(null),45-64,UNKNOWN,M
214947674,07/05/2020,21:52:00,07/05/2020,22:29:00,9,07/06/2020,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),HIGHWAY/PARKWAY,N.Y. POLICE DEPT,0,(null),(null),(null),991204,201178,(null),(null),(null),,40.71886109,-73.97491363,"(40.71886109, -73.97491363)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
214901955,07/03/2020,20:32:00,07/03/2020,21:12:00,9,07/04/2020,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),991086,203977,45-64,WHITE HISPANIC,M,,40.72654376,-73.97533647,"(40.72654376, -73.97533647)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
210702166,03/09/2020,00:25:00,,(null),9,03/09/2020,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),986450,203649,(null),(null),(null),,40.72564584,-73.99206275,"(40.72564584, -73.99206275)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
209977824,02/24/2020,02:35:00,,(null),9,02/24/2020,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988353,205965,(null),(null),(null),,40.732004,-73.985195,"(40.732004, -73.985195)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
209249952,02/09/2020,03:36:00,02/09/2020,05:46:00,9,02/09/2020,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),990134,204662,(null),(null),(null),,40.728426,-73.978767,"(40.728426, -73.978767)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
206920186,01/04/2020,04:43:00,01/04/2020,04:50:00,9,01/04/2020,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988219,205723,(null),(null),(null),,40.731338,-73.985676,"(40.731338, -73.985676)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
205247447,11/16/2019,19:05:00,11/16/2019,19:21:00,9,11/16/2019,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),990655,202503,25-44,BLACK HISPANIC,M,,40.72249831,-73.97689287,"(40.72249831, -73.97689287)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
204945481,11/10/2019,04:30:00,11/10/2019,05:01:00,9,11/10/2019,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),985661,203396,18-24,WHITE,M,,40.72495158,-73.99490939,"(40.72495158, -73.99490939)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
203406167,09/28/2019,05:18:00,09/28/2019,05:30:00,9,10/08/2019,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),LOWER EAST SIDE REHAB (GROUP 5),14115,990051,202974,(null),(null),(null),,40.723794,-73.979069,"(40.723794, -73.979069)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
202205795,09/10/2019,00:00:00,09/10/2019,09:30:00,9,09/10/2019,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989119,205070,25-44,WHITE,M,,40.729547,-73.98243,"(40.729547, -73.98243)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
193915153,02/24/2019,03:42:00,02/24/2019,03:53:00,9,02/24/2019,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),986421,205555,25-44,UNKNOWN,M,,40.730879,-73.992164,"(40.730879, -73.992164)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
192789367,01/26/2019,11:49:00,01/26/2019,12:06:00,9,01/26/2019,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),991015,203154,25-44,WHITE HISPANIC,M,,40.72428488,-73.97559346,"(40.72428488, -73.97559346)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
192545141,01/21/2019,01:20:00,01/21/2019,01:26:00,9,01/21/2019,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),986860,203269,25-44,BLACK HISPANIC,M,,40.724603,-73.99058,"(40.724603, -73.99058)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
191892104,01/05/2019,01:15:00,01/05/2019,01:30:00,9,01/05/2019,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987906,205154,(null),(null),(null),,40.72977622,-73.98680891,"(40.72977622, -73.98680891)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
191202752,12/16/2018,06:30:00,12/16/2018,06:40:00,9,12/16/2018,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),HIGHWAY/PARKWAY,N.Y. POLICE DEPT,0,(null),(null),(null),991204,201178,25-44,BLACK,M,,40.71886109,-73.97491363,"(40.71886109, -73.97491363)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
184859526,07/06/2018,17:00:00,07/06/2018,17:16:00,9,07/06/2018,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987253,203199,25-44,WHITE HISPANIC,M,,40.724411,-73.989165,"(40.724411, -73.989165)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
182068451,05/05/2018,02:15:00,05/05/2018,02:29:00,9,05/05/2018,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),986738,202922,18-24,WHITE,M,,40.72365033,-73.99102396,"(40.72365033, -73.99102396)",PATROL BORO MAN SOUTH,(null),45-64,ASIAN / PACIFIC ISLANDER,M
178714057,04/29/2018,03:01:00,04/29/2018,03:16:00,9,04/29/2018,347,INTOXICATED & IMPAIRED DRIVING,907.0,"IMPAIRED DRIVING,DRUG",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987399,202661,25-44,WHITE HISPANIC,M,,40.72293374,-73.98863937,"(40.72293374, -73.98863937)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
178428147,04/21/2018,02:15:00,04/21/2018,02:27:00,9,04/21/2018,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987784,204939,25-44,BLACK,M,,40.72918615,-73.98724921,"(40.72918615, -73.98724921)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
